source,country,date,type,value
wikipedia,Suriname,02-Apr-20_08:24,deaths,0
wikipedia,Suriname,02-Apr-20_08:24,recovered,0
wikipedia,Ecuador,02-Apr-20_08:24,cases,2748
wikipedia,Ecuador,02-Apr-20_08:24,deaths,93
wikipedia,Ecuador,02-Apr-20_08:24,recovered,58
wikipedia,Laos,02-Apr-20_08:24,cases,9
wikipedia,Laos,02-Apr-20_08:24,deaths,0
wikipedia,Laos,02-Apr-20_08:24,recovered,0
wikipedia,Saint Barthélemy,02-Apr-20_08:24,cases,6
wikipedia,Saint Barthélemy,02-Apr-20_08:24,deaths,0
wikipedia,Saint Barthélemy,02-Apr-20_08:24,recovered,1
wikipedia,Ghana,02-Apr-20_08:24,cases,195
wikipedia,Ghana,02-Apr-20_08:24,deaths,5
wikipedia,Ghana,02-Apr-20_08:24,recovered,3
wikipedia,Eswatini,02-Apr-20_08:24,cases,9
wikipedia,Eswatini,02-Apr-20_08:24,deaths,0
wikipedia,Eswatini,02-Apr-20_08:24,recovered,0
wikipedia,Latvia,02-Apr-20_08:24,cases,446
wikipedia,Latvia,02-Apr-20_08:24,deaths,0
wikipedia,Latvia,02-Apr-20_08:24,recovered,1
wikipedia,Namibia,02-Apr-20_08:24,cases,14
wikipedia,Namibia,02-Apr-20_08:24,deaths,0
wikipedia,Namibia,02-Apr-20_08:24,recovered,2
wikipedia,Guyana,02-Apr-20_08:24,cases,12
wikipedia,Guyana,02-Apr-20_08:24,deaths,1
wikipedia,Guyana,02-Apr-20_08:24,recovered,0
wikipedia,Maldives,02-Apr-20_08:24,cases,19
wikipedia,Maldives,02-Apr-20_08:24,deaths,0
wikipedia,Maldives,02-Apr-20_08:24,recovered,13
wikipedia,Zimbabwe,02-Apr-20_08:24,cases,8
wikipedia,Zimbabwe,02-Apr-20_08:24,deaths,1
wikipedia,Zimbabwe,02-Apr-20_08:24,recovered,0
wikipedia,Anguilla,02-Apr-20_08:24,cases,2
wikipedia,Anguilla,02-Apr-20_08:24,deaths,0
wikipedia,Anguilla,02-Apr-20_08:24,recovered,0
wikipedia,Eritrea,02-Apr-20_08:24,cases,15
wikipedia,Eritrea,02-Apr-20_08:24,deaths,0
wikipedia,Eritrea,02-Apr-20_08:24,recovered,0
wikipedia,Seychelles,02-Apr-20_08:24,cases,10
wikipedia,Seychelles,02-Apr-20_08:24,deaths,0
wikipedia,Seychelles,02-Apr-20_08:24,recovered,0
wikipedia,Greece,02-Apr-20_08:24,cases,1415
wikipedia,Greece,02-Apr-20_08:24,deaths,51
wikipedia,Greece,02-Apr-20_08:24,recovered,52
wikipedia,Guatemala,02-Apr-20_08:24,cases,46
wikipedia,Guatemala,02-Apr-20_08:24,deaths,1
wikipedia,Guatemala,02-Apr-20_08:24,recovered,12
wikipedia,DR Congo,02-Apr-20_08:24,cases,109
wikipedia,DR Congo,02-Apr-20_08:24,deaths,9
wikipedia,DR Congo,02-Apr-20_08:24,recovered,3
wikipedia,Republic of the Congo,02-Apr-20_08:24,cases,22
wikipedia,Republic of the Congo,02-Apr-20_08:24,deaths,2
wikipedia,Republic of the Congo,02-Apr-20_08:24,recovered,0
wikipedia,San Marino,02-Apr-20_08:24,cases,236
wikipedia,San Marino,02-Apr-20_08:24,deaths,26
wikipedia,San Marino,02-Apr-20_08:24,recovered,13
wikipedia,Philippines,02-Apr-20_08:24,cases,2311
wikipedia,Philippines,02-Apr-20_08:24,deaths,96
wikipedia,Philippines,02-Apr-20_08:24,recovered,50
wikipedia,Mauritania,02-Apr-20_08:24,cases,6
wikipedia,Mauritania,02-Apr-20_08:24,deaths,1
wikipedia,Mauritania,02-Apr-20_08:24,recovered,2
wikipedia,Russia,02-Apr-20_08:24,cases,2777
wikipedia,Russia,02-Apr-20_08:24,deaths,24
wikipedia,Russia,02-Apr-20_08:24,recovered,190
